Datum,Strom Verbrauch Privat,Strom Gemeinschaft Verbrauch,Strom Gemeinschaft Erzeugung,Gas
2024/09/28,  145,     ,      ,
2024/11/18,  432,     ,      ,
2024/12/24,  672,     ,      ,
2025/01/01,  733,     ,      ,
2025/01/08,  784, 3765,  2708,
2025/01/16,  839, 4214,  2720, 1601
2025/02/07,  977, 5349,  2790,
2025/03/08,     ,     ,      , 2379
2025/05/01, 1412, 7593,  4974, 2955
2025/05/20, 1506, 7665,  5919,
2025/06/03, 1583, 7724,  6483,
2025/06/21,     ,     ,  7413, 3256
2025/06/25,     ,     ,      , 3261
2025/06/27,     ,     ,      , 3265
2025/07/02,     ,     ,      , 3279
2025/08/29, 1989, 8202, 10203, 3425
2025/08/30,     , 8216,      ,
2025/09/04, 2024, 8248, 10390, 3444
2025/09/15, 2081, 8334, 10692, 3481
2025/10/03, 2184, 8664, 11105, 3538
2025/10/23, 2306, 9233, 11243,
2025/10/28,     ,     ,      , 3629
2025/11/03, 2375, 9646, 11278, 3651
